index;dice;distName;distfName;distsName;equalDiaN;equalMesN;equalAnoN;equalMunR;equalGen;classification
2;high;medium;low;high;true;true;true;true;true;true
4;high;low;low;low;true;true;false;false;true;true
5;high;low;low;low;true;true;false;true;true;true
6;high;low;low;low;true;true;true;false;true;true
8;high;medium;low;high;false;true;false;true;true;false
9;high;medium;high;high;true;true;true;true;false;false
10;high;medium;low;high;true;true;true;false;true;true
13;medium;low;high;high;true;true;true;true;true;true
15;medium;low;low;low;true;false;true;true;true;true
16;medium;low;low;low;true;true;false;false;true;true
17;medium;medium;high;high;true;true;true;true;true;false
21;medium;low;low;low;true;true;false;true;true;false
22;medium;medium;low;high;true;true;true;true;true;true
24;medium;medium;low;high;false;true;true;true;true;false
25;medium;low;low;high;true;true;true;true;true;true
26;medium;low;low;low;true;false;true;true;true;false
30;medium;low;low;low;false;true;false;false;true;false
31;medium;medium;low;high;true;true;true;false;true;true
32;medium;low;low;low;false;true;false;true;true;false
33;medium;low;low;low;false;true;true;true;true;false
35;medium;medium;high;high;true;true;false;true;true;false
38;medium;medium;low;high;true;true;false;false;false;false
40;medium;medium;high;high;true;true;true;true;false;false
41;medium;medium;low;high;true;true;false;false;true;false
45;low;medium;high;low;true;false;true;true;false;false
46;low;medium;low;high;true;true;true;false;true;false
49;low;medium;low;low;true;true;true;true;true;true
50;low;medium;high;high;true;false;true;true;false;false
53;low;medium;high;high;true;true;false;true;true;false
57;low;medium;high;high;true;true;true;true;false;false
58;low;medium;high;high;true;true;true;false;false;false
60;low;medium;low;high;true;true;true;true;true;false
61;low;medium;low;high;false;true;false;true;true;false
63;low;medium;high;low;true;true;true;true;true;false
64;low;medium;high;high;true;true;false;true;false;false
65;low;medium;low;high;true;true;false;false;true;false
66;low;medium;low;high;true;false;true;true;true;true
67;low;low;low;low;false;true;true;false;true;false
68;low;medium;high;high;true;true;false;false;true;false
69;low;medium;low;high;false;false;true;true;true;false
72;low;medium;low;high;true;true;false;true;true;false
75;low;medium;high;high;false;false;true;true;true;false
76;low;medium;high;low;true;false;true;false;true;false
78;low;low;low;low;false;false;true;false;true;false
80;low;medium;low;high;false;true;true;false;true;false
83;low;medium;high;low;false;true;true;false;true;false
84;low;medium;low;high;true;false;false;true;true;false
85;low;medium;high;high;false;false;true;true;false;false
87;low;low;low;low;false;false;true;true;true;false
90;low;low;low;low;false;false;false;true;true;false
93;low;low;low;low;false;true;false;true;true;false
94;low;medium;low;high;false;true;true;true;true;true
97;low;low;low;low;false;true;false;false;true;false
99;low;medium;low;high;false;false;true;false;false;false
101;low;medium;low;high;true;false;true;true;false;false
102;low;medium;high;low;true;true;true;false;true;false
104;low;medium;high;high;false;true;true;true;true;false
105;low;low;low;low;true;false;false;false;true;false
106;low;medium;high;low;false;true;false;true;false;false
108;low;medium;high;high;true;false;true;false;false;false
109;low;medium;low;high;true;false;false;false;true;false
110;low;medium;low;high;false;true;true;true;false;false
113;low;medium;high;high;false;true;false;false;false;false
115;low;low;low;low;true;false;true;false;true;true
117;low;medium;low;high;false;true;false;false;true;false
118;low;low;low;low;false;true;true;true;true;true
