index;dice;distName;distfName;distsName;equalDiaN;equalMesN;equalAnoN;equalMunR;equalGen;classification
23;medium;low;low;low;true;false;true;false;true;false
11;medium;low;low;low;true;true;true;true;true;true
81;low;medium;high;low;true;false;false;true;true;false
54;low;medium;high;high;false;true;false;true;true;false
36;medium;medium;low;high;true;true;false;true;true;false
100;low;medium;high;low;false;true;false;true;true;false
89;low;medium;high;high;false;true;true;true;false;false
95;low;medium;low;high;false;true;true;false;true;true
59;low;medium;low;high;false;false;true;true;false;false
29;medium;medium;low;low;true;true;true;true;false;true
29;medium;medium;low;low;true;true;true;true;false;true
37;medium;low;low;low;false;false;false;false;true;false
55;low;low;low;low;false;true;true;true;true;false
118;low;low;low;low;false;true;true;true;true;true
71;low;medium;high;low;true;true;true;false;false;false
28;medium;medium;high;low;false;true;true;true;false;false
79;low;low;low;low;true;true;false;true;true;true
44;low;medium;high;high;true;true;true;true;true;false
56;low;medium;high;high;true;true;true;false;true;false
14;medium;low;low;low;true;true;true;true;false;false
19;medium;low;low;low;false;true;true;true;true;true
111;low;medium;low;high;true;false;true;false;true;false
43;low;medium;high;high;true;false;true;true;true;false
7;high;low;low;low;true;false;true;true;true;true
3;high;low;low;low;true;true;true;true;true;true
39;medium;medium;high;low;false;false;false;true;false;false
52;low;medium;high;low;true;true;false;true;false;false
52;low;medium;high;low;true;true;false;true;false;false
52;low;medium;high;low;true;true;false;true;false;false
107;low;medium;high;high;false;false;false;true;false;false
86;low;low;low;low;true;true;false;false;true;false
73;low;medium;low;high;true;true;false;false;true;true
42;low;low;low;low;true;true;false;true;false;false
27;medium;low;low;low;true;true;true;true;false;true
27;medium;low;low;low;true;true;true;true;false;true
51;low;medium;low;high;true;false;true;true;true;false
91;low;medium;high;high;false;true;true;false;true;false
96;low;low;low;low;true;true;true;true;true;false
103;low;medium;high;low;true;true;false;false;true;false
112;low;medium;high;high;true;false;false;true;true;false
98;low;low;low;low;false;false;false;false;true;false
98;low;low;low;low;false;false;false;false;true;false
12;medium;low;low;low;true;true;true;false;true;true
88;low;medium;low;high;false;false;false;false;true;false
70;low;medium;low;high;false;true;true;true;true;false
48;low;low;low;low;true;true;true;true;true;true
20;medium;low;low;low;true;true;true;false;true;false
20;medium;low;low;low;true;true;true;false;true;false
116;low;medium;high;high;true;true;false;false;false;false
114;low;medium;low;high;false;false;false;true;false;false
114;low;medium;low;high;false;false;false;true;false;false
1;high;medium;low;high;true;true;true;true;true;true
62;low;medium;low;high;true;true;true;true;true;true
62;low;medium;low;high;true;true;true;true;true;true
34;medium;medium;high;high;false;true;true;true;false;false
34;medium;medium;high;high;false;true;true;true;false;false
92;low;medium;high;low;true;true;false;false;false;false
74;low;medium;high;high;false;true;false;true;false;false
74;low;medium;high;high;false;true;false;true;false;false
74;low;medium;high;high;false;true;false;true;false;false
74;low;medium;high;high;false;true;false;true;false;false
74;low;medium;high;high;false;true;false;true;false;false
47;low;low;low;low;true;true;true;false;true;true
77;low;medium;high;high;true;false;true;false;true;false
18;medium;low;low;low;true;true;false;true;true;true
82;low;low;low;low;true;false;false;true;true;false
82;low;low;low;low;true;false;false;true;true;false
82;low;low;low;low;true;false;false;true;true;false
82;low;low;low;low;true;false;false;true;true;false
82;low;low;low;low;true;false;false;true;true;false
82;low;low;low;low;true;false;false;true;true;false
