index;dice;distName;distfName;distsName;equalDiaN;equalMesN;equalAnoN;equalMunR;equalGen;classification
1;high;medium;low;high;true;true;true;true;true;true
2;high;medium;low;high;true;true;true;true;true;true
3;high;low;low;low;true;true;true;true;true;true
4;high;low;low;low;true;true;false;false;true;true
6;high;low;low;low;true;true;true;false;true;true
7;high;low;low;low;true;false;true;true;true;true
8;high;medium;low;high;false;true;false;true;true;false
9;high;medium;high;high;true;true;true;true;false;false
10;high;medium;low;high;true;true;true;false;true;true
12;medium;low;low;low;true;true;true;false;true;true
13;medium;low;high;high;true;true;true;true;true;true
14;medium;low;low;low;true;true;true;true;false;false
15;medium;low;low;low;true;false;true;true;true;true
16;medium;low;low;low;true;true;false;false;true;true
17;medium;medium;high;high;true;true;true;true;true;false
18;medium;low;low;low;true;true;false;true;true;true
19;medium;low;low;low;false;true;true;true;true;true
20;medium;low;low;low;true;true;true;false;true;false
21;medium;low;low;low;true;true;false;true;true;false
22;medium;medium;low;high;true;true;true;true;true;true
23;medium;low;low;low;true;false;true;false;true;false
25;medium;low;low;high;true;true;true;true;true;true
26;medium;low;low;low;true;false;true;true;true;false
27;medium;low;low;low;true;true;true;true;false;true
28;medium;medium;high;low;false;true;true;true;false;false
29;medium;medium;low;low;true;true;true;true;false;true
30;medium;low;low;low;false;true;false;false;true;false
32;medium;low;low;low;false;true;false;true;true;false
36;medium;medium;low;high;true;true;false;true;true;false
37;medium;low;low;low;false;false;false;false;true;false
39;medium;medium;high;low;false;false;false;true;false;false
41;medium;medium;low;high;true;true;false;false;true;false
42;low;low;low;low;true;true;false;true;false;false
43;low;medium;high;high;true;false;true;true;true;false
45;low;medium;high;low;true;false;true;true;false;false
46;low;medium;low;high;true;true;true;false;true;false
47;low;low;low;low;true;true;true;false;true;true
49;low;medium;low;low;true;true;true;true;true;true
50;low;medium;high;high;true;false;true;true;false;false
52;low;medium;high;low;true;true;false;true;false;false
53;low;medium;high;high;true;true;false;true;true;false
54;low;medium;high;high;false;true;false;true;true;false
55;low;low;low;low;false;true;true;true;true;false
56;low;medium;high;high;true;true;true;false;true;false
58;low;medium;high;high;true;true;true;false;false;false
59;low;medium;low;high;false;false;true;true;false;false
60;low;medium;low;high;true;true;true;true;true;false
61;low;medium;low;high;false;true;false;true;true;false
62;low;medium;low;high;true;true;true;true;true;true
63;low;medium;high;low;true;true;true;true;true;false
64;low;medium;high;high;true;true;false;true;false;false
65;low;medium;low;high;true;true;false;false;true;false
66;low;medium;low;high;true;false;true;true;true;true
68;low;medium;high;high;true;true;false;false;true;false
69;low;medium;low;high;false;false;true;true;true;false
70;low;medium;low;high;false;true;true;true;true;false
72;low;medium;low;high;true;true;false;true;true;false
73;low;medium;low;high;true;true;false;false;true;true
74;low;medium;high;high;false;true;false;true;false;false
75;low;medium;high;high;false;false;true;true;true;false
76;low;medium;high;low;true;false;true;false;true;false
77;low;medium;high;high;true;false;true;false;true;false
78;low;low;low;low;false;false;true;false;true;false
79;low;low;low;low;true;true;false;true;true;true
80;low;medium;low;high;false;true;true;false;true;false
81;low;medium;high;low;true;false;false;true;true;false
82;low;low;low;low;true;false;false;true;true;false
83;low;medium;high;low;false;true;true;false;true;false
84;low;medium;low;high;true;false;false;true;true;false
85;low;medium;high;high;false;false;true;true;false;false
87;low;low;low;low;false;false;true;true;true;false
88;low;medium;low;high;false;false;false;false;true;false
89;low;medium;high;high;false;true;true;true;false;false
90;low;low;low;low;false;false;false;true;true;false
91;low;medium;high;high;false;true;true;false;true;false
92;low;medium;high;low;true;true;false;false;false;false
93;low;low;low;low;false;true;false;true;true;false
94;low;medium;low;high;false;true;true;true;true;true
95;low;medium;low;high;false;true;true;false;true;true
96;low;low;low;low;true;true;true;true;true;false
99;low;medium;low;high;false;false;true;false;false;false
101;low;medium;low;high;true;false;true;true;false;false
102;low;medium;high;low;true;true;true;false;true;false
103;low;medium;high;low;true;true;false;false;true;false
104;low;medium;high;high;false;true;true;true;true;false
105;low;low;low;low;true;false;false;false;true;false
106;low;medium;high;low;false;true;false;true;false;false
107;low;medium;high;high;false;false;false;true;false;false
108;low;medium;high;high;true;false;true;false;false;false
109;low;medium;low;high;true;false;false;false;true;false
110;low;medium;low;high;false;true;true;true;false;false
111;low;medium;low;high;true;false;true;false;true;false
113;low;medium;high;high;false;true;false;false;false;false
116;low;medium;high;high;true;true;false;false;false;false
117;low;medium;low;high;false;true;false;false;true;false
118;low;low;low;low;false;true;true;true;true;true
